配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,queue_MB均值,queue_MB峰值,完成时间
6,2,16K,duet_same,duet_same(16777216),1,4.396GB/s,47.76,275,0.1,0.13,2026年 05月 21日 星期四 01:03:48 CST
6,2,16K,duet_same,duet_same(8388608),1,4.391GB/s,48.2,275,0.1,0.13,2026年 05月 21日 星期四 01:04:49 CST
6,2,16K,duet_same,duet_same(4194304),1,4.398GB/s,48.46,275,0.1,0.13,2026年 05月 21日 星期四 01:05:50 CST
6,2,16K,duet_same,duet_same(2097152),1,4.400GB/s,48.03,275,0.1,0.13,2026年 05月 21日 星期四 01:06:51 CST
6,2,16K,duet_same,duet_same(1048576),1,4.391GB/s,48.44,275,0.1,0.13,2026年 05月 21日 星期四 01:07:52 CST
6,2,16K,duet_dual,duet_dual(2097152/1048576),1,4.389GB/s,48.94,275,0.1,0.13,2026年 05月 21日 星期四 01:08:53 CST
6,2,16K,duet_dual,duet_dual(2097152/524288),1,4.398GB/s,47.83,275,0.1,0.13,2026年 05月 21日 星期四 01:09:53 CST
6,2,16K,duet_dual,duet_dual(2097152/262144),1,4.391GB/s,47.84,275,0.1,0.13,2026年 05月 21日 星期四 01:10:54 CST
6,2,16K,none,none,2,4.592GB/s,64.18,275,N/A,N/A,2026年 05月 21日 星期四 01:11:41 CST
6,2,16K,bfq,bfq,2,4.386GB/s,49.79,275,0.1,0.13,2026年 05月 21日 星期四 01:12:23 CST
6,2,16K,duet_same,duet_same(16777216),2,4.402GB/s,49.45,275,0.1,0.13,2026年 05月 21日 星期四 01:13:24 CST
6,2,16K,duet_same,duet_same(8388608),2,4.399GB/s,48.47,275,0.1,0.13,2026年 05月 21日 星期四 01:14:25 CST
6,2,16K,duet_same,duet_same(4194304),2,4.392GB/s,49.11,275,0.11,0.13,2026年 05月 21日 星期四 01:15:26 CST
6,2,16K,duet_same,duet_same(2097152),2,4.394GB/s,48.15,275,0.11,0.13,2026年 05月 21日 星期四 01:16:27 CST
6,2,16K,duet_same,duet_same(1048576),2,4.390GB/s,48.79,275,0.1,0.13,2026年 05月 21日 星期四 01:17:28 CST
6,2,16K,duet_dual,duet_dual(2097152/1048576),2,4.404GB/s,48.49,275,0.1,0.13,2026年 05月 21日 星期四 01:18:29 CST
6,2,16K,duet_dual,duet_dual(2097152/524288),2,4.388GB/s,48.27,275,0.11,0.13,2026年 05月 21日 星期四 01:19:30 CST
6,2,16K,duet_dual,duet_dual(2097152/262144),2,4.378GB/s,39.87,275,0.1,0.13,2026年 05月 21日 星期四 01:20:30 CST
6,2,16K,none,none,3,4.592GB/s,62.38,275,N/A,N/A,2026年 05月 21日 星期四 01:21:17 CST
6,2,16K,bfq,bfq,3,4.378GB/s,47.08,275,0.1,0.13,2026年 05月 21日 星期四 01:21:59 CST
6,2,16K,duet_same,duet_same(16777216),3,4.392GB/s,48.52,275,0.1,0.13,2026年 05月 21日 星期四 01:23:00 CST
6,2,16K,duet_same,duet_same(8388608),3,4.401GB/s,48.45,275,0.1,0.13,2026年 05月 21日 星期四 01:24:01 CST
6,2,16K,duet_same,duet_same(4194304),3,4.399GB/s,47.84,275,0.11,0.13,2026年 05月 21日 星期四 01:25:02 CST
6,2,16K,duet_same,duet_same(2097152),3,4.402GB/s,48.49,275,0.1,0.13,2026年 05月 21日 星期四 01:26:03 CST
6,2,16K,duet_same,duet_same(1048576),3,4.389GB/s,49.43,275,0.1,0.13,2026年 05月 21日 星期四 01:27:04 CST
