配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
7,4,4K,duet_same,duet_same(1048576),2,1.343GB/s,168.69,274,2025年 08月 08日 星期五 15:14:03 CST
7,4,4K,duet_dual,duet_dual(4194304/3145728),2,1.342GB/s,173.76,274,2025年 08月 08日 星期五 15:14:45 CST
7,4,4K,duet_dual,duet_dual(4194304/2097152),2,1.342GB/s,166.36,274,2025年 08月 08日 星期五 15:15:27 CST
7,4,4K,duet_dual,duet_dual(4194304/1048576),2,1.342GB/s,164.17,274,2025年 08月 08日 星期五 15:16:08 CST
7,4,4K,none,none,3,1.800GB/s,147.19,274,2025年 08月 08日 星期五 15:16:55 CST
7,4,4K,bfq,bfq,3,1.340GB/s,171.17,274,2025年 08月 08日 星期五 15:17:37 CST
7,4,4K,duet_same,duet_same(16777216),3,1.345GB/s,163.62,274,2025年 08月 08日 星期五 15:18:18 CST
7,4,4K,duet_same,duet_same(8388608),3,1.339GB/s,168.41,274,2025年 08月 08日 星期五 15:19:00 CST
7,4,4K,duet_same,duet_same(4194304),3,1.345GB/s,174.66,273,2025年 08月 08日 星期五 15:19:42 CST
7,4,4K,duet_same,duet_same(2097152),3,1.337GB/s,186.51,273,2025年 08月 08日 星期五 15:20:23 CST
7,4,4K,duet_same,duet_same(1048576),3,1.341GB/s,167.36,274,2025年 08月 08日 星期五 15:21:05 CST
7,4,4K,duet_dual,duet_dual(4194304/3145728),3,1.343GB/s,184.48,274,2025年 08月 08日 星期五 15:21:47 CST
7,4,4K,duet_dual,duet_dual(4194304/2097152),3,1.341GB/s,164.62,274,2025年 08月 08日 星期五 15:22:28 CST
7,4,4K,duet_dual,duet_dual(4194304/1048576),3,1.341GB/s,168.03,274,2025年 08月 08日 星期五 15:23:10 CST
8,4,16K,none,none,1,4.994GB/s,143.35,273,2025年 08月 08日 星期五 15:24:02 CST
8,4,16K,bfq,bfq,1,4.260GB/s,144.04,274,2025年 08月 08日 星期五 15:24:43 CST
8,4,16K,duet_same,duet_same(16777216),1,4.262GB/s,148.21,273,2025年 08月 08日 星期五 15:25:25 CST
8,4,16K,duet_same,duet_same(8388608),1,4.268GB/s,146.38,273,2025年 08月 08日 星期五 15:26:07 CST
8,4,16K,duet_same,duet_same(4194304),1,4.261GB/s,140.24,273,2025年 08月 08日 星期五 15:26:48 CST
8,4,16K,duet_same,duet_same(2097152),1,4.294GB/s,140.68,274,2025年 08月 08日 星期五 15:27:30 CST
8,4,16K,duet_same,duet_same(1048576),1,4.259GB/s,145.31,273,2025年 08月 08日 星期五 15:28:12 CST
8,4,16K,duet_dual,duet_dual(4194304/3145728),1,4.277GB/s,150.52,273,2025年 08月 08日 星期五 15:28:53 CST
8,4,16K,duet_dual,duet_dual(4194304/2097152),1,4.264GB/s,144.55,273,2025年 08月 08日 星期五 15:29:35 CST
8,4,16K,duet_dual,duet_dual(4194304/1048576),1,4.250GB/s,144.65,273,2025年 08月 08日 星期五 15:30:17 CST
8,4,16K,none,none,2,4.988GB/s,137.63,273,2025年 08月 08日 星期五 15:31:03 CST
8,4,16K,bfq,bfq,2,4.238GB/s,144.80,273,2025年 08月 08日 星期五 15:31:45 CST
8,4,16K,duet_same,duet_same(16777216),2,4.234GB/s,142.71,273,2025年 08月 08日 星期五 15:32:27 CST
8,4,16K,duet_same,duet_same(8388608),2,4.248GB/s,143.49,273,2025年 08月 08日 星期五 15:33:08 CST
8,4,16K,duet_same,duet_same(4194304),2,4.239GB/s,155.13,273,2025年 08月 08日 星期五 15:33:50 CST
8,4,16K,duet_same,duet_same(2097152),2,4.233GB/s,145.47,273,2025年 08月 08日 星期五 15:34:32 CST
